alpha,delta,RD_CCJS
0.39,3.2e-05,0.50939
0.4,3.2e-05,0.516557
0.41,3.2e-05,0.523686
0.42,3.2e-05,0.530781
0.43,3.2e-05,0.537842
0.44,3.2e-05,0.544875
0.45,3.2e-05,0.551881
0.46,3.2e-05,0.558863
0.47,3.2e-05,0.565824
0.48,3.2e-05,0.572766
0.49,3.2e-05,0.579691
0.5,3.2e-05,0.586603
0.51,3.2e-05,0.593504
0.52,3.2e-05,0.600396
0.53,3.2e-05,0.607282
0.54,3.2e-05,0.614163
0.55,3.2e-05,0.621044
0.56,3.2e-05,0.627925
0.57,3.2e-05,0.63481
0.58,3.2e-05,0.641702
0.59,3.2e-05,0.648602
0.6,3.2e-05,0.655514
0.61,3.2e-05,0.66244
0.62,3.2e-05,0.669383
0.63,3.2e-05,0.676346
0.64,3.2e-05,0.683333
0.65,3.2e-05,0.690346
0.66,3.2e-05,0.697388
0.67,3.2e-05,0.704464
0.68,3.2e-05,0.711577
0.69,3.2e-05,0.71873
0.7,3.2e-05,0.725928
0.71,3.2e-05,0.733176
0.72,3.2e-05,0.740477
0.73,3.2e-05,0.747838
0.74,3.2e-05,0.755264
0.75,3.2e-05,0.76276
0.76,3.2e-05,0.770333
0.77,3.2e-05,0.777991
0.78,3.2e-05,0.785741
0.79,3.2e-05,0.793591
0.8,3.2e-05,0.801552
0.81,3.2e-05,0.809634
0.82,3.2e-05,0.81785
0.83,3.2e-05,0.826213
0.84,3.2e-05,0.834739
0.85,3.2e-05,0.843446
0.86,3.2e-05,0.852357
0.87,3.2e-05,0.861496
0.88,3.2e-05,0.870894
0.89,3.2e-05,0.880587
0.9,3.2e-05,0.890624
0.91,3.2e-05,0.901064
0.92,3.2e-05,0.911995
0.93,3.2e-05,0.923548
0.94,3.2e-05,0.935948
0.95,3.2e-05,0.949634
0.96,3.2e-05,0.965543
0.97,3.2e-05,0.985774
0.98,3.2e-05,1.014946
0.99,3.2e-05,1.061806
1.0,3.2e-05,1.150414
0.0,0.0001,0.005818
0.01,0.0001,0.084107
0.02,0.0001,0.131111
0.03,0.0001,0.160348
0.04,0.0001,0.180934
0.05,0.0001,0.197544
0.06,0.0001,0.212173
0.07,0.0001,0.22565
0.08,0.0001,0.238342
0.09,0.0001,0.250432
0.1,0.0001,0.262026
0.11,0.0001,0.273196
0.12,0.0001,0.283996
0.13,0.0001,0.294466
0.14,0.0001,0.304642
0.15,0.0001,0.314552
0.16,0.0001,0.324222
0.17,0.0001,0.333672
0.18,0.0001,0.342922
0.19,0.0001,0.351988
0.2,0.0001,0.360885
0.21,0.0001,0.369625
0.22,0.0001,0.37822
0.23,0.0001,0.386682
0.24,0.0001,0.395018
0.25,0.0001,0.403238
0.26,0.0001,0.41135
0.27,0.0001,0.419361
0.28,0.0001,0.427277
0.29,0.0001,0.435106
0.3,0.0001,0.442852
0.31,0.0001,0.450521
0.32,0.0001,0.458118
0.33,0.0001,0.465647
0.34,0.0001,0.473113
0.35,0.0001,0.480521
0.36,0.0001,0.487873
0.37,0.0001,0.495174
0.38,0.0001,0.502428
0.39,0.0001,0.509637
0.4,0.0001,0.516804
0.41,0.0001,0.523934
0.42,0.0001,0.531029
0.43,0.0001,0.538092
0.44,0.0001,0.545125
0.45,0.0001,0.552132
0.46,0.0001,0.559115
0.47,0.0001,0.566077
0.48,0.0001,0.57302
0.49,0.0001,0.579947
0.5,0.0001,0.58686
0.51,0.0001,0.593761
0.52,0.0001,0.600654
0.53,0.0001,0.607541
0.54,0.0001,0.614424
0.55,0.0001,0.621305
0.56,0.0001,0.628188
0.57,0.0001,0.635074
0.58,0.0001,0.641967
0.59,0.0001,0.648868
0.6,0.0001,0.655781
0.61,0.0001,0.662708
0.62,0.0001,0.669653
0.63,0.0001,0.676617
0.64,0.0001,0.683605
0.65,0.0001,0.690619
0.66,0.0001,0.697663
0.67,0.0001,0.70474
0.68,0.0001,0.711854
0.69,0.0001,0.719008
0.7,0.0001,0.726208
0.71,0.0001,0.733457
0.72,0.0001,0.74076
0.73,0.0001,0.748122
0.74,0.0001,0.755549
0.75,0.0001,0.763047
0.76,0.0001,0.770622
0.77,0.0001,0.778281
0.78,0.0001,0.786032
0.79,0.0001,0.793884
0.8,0.0001,0.801847
0.81,0.0001,0.809931
0.82,0.0001,0.818148
0.83,0.0001,0.826513
0.84,0.0001,0.835041
0.85,0.0001,0.84375
0.86,0.0001,0.852663
0.87,0.0001,0.861804
0.88,0.0001,0.871204
0.89,0.0001,0.880899
0.9,0.0001,0.890938
0.91,0.0001,0.901381
0.92,0.0001,0.912314
0.93,0.0001,0.92387
0.94,0.0001,0.936275
0.95,0.0001,0.949968
0.96,0.0001,0.965891
0.97,0.0001,0.986154
0.98,0.0001,1.015393
0.99,0.0001,1.062372
1.0,0.0001,1.151076
0.0,0.000316,0.005798
0.01,0.000316,0.084424
0.02,0.000316,0.131823
0.03,0.000316,0.161244
0.04,0.000316,0.181878
0.05,0.000316,0.198484
0.06,0.000316,0.213092
0.07,0.000316,0.226546
0.08,0.000316,0.239216
0.09,0.000316,0.251287
0.1,0.000316,0.262866
0.11,0.000316,0.274023
0.12,0.000316,0.284811
0.13,0.000316,0.295272
0.14,0.000316,0.30544
0.15,0.000316,0.315344
0.16,0.000316,0.325008
0.17,0.000316,0.334454
0.18,0.000316,0.3437
0.19,0.000316,0.352763
0.2,0.000316,0.361657
0.21,0.000316,0.370395
0.22,0.000316,0.378989
0.23,0.000316,0.387449
0.24,0.000316,0.395785
0.25,0.000316,0.404005
0.26,0.000316,0.412116
0.27,0.000316,0.420127
0.28,0.000316,0.428045
0.29,0.000316,0.435874
0.3,0.000316,0.443621
0.31,0.000316,0.451291
0.32,0.000316,0.458889
0.33,0.000316,0.466419
0.34,0.000316,0.473887
0.35,0.000316,0.481297
0.36,0.000316,0.488651
0.37,0.000316,0.495954
0.38,0.000316,0.503209
0.39,0.000316,0.510421
0.4,0.000316,0.517591
0.41,0.000316,0.524723
0.42,0.000316,0.531821
0.43,0.000316,0.538886
0.44,0.000316,0.545922
0.45,0.000316,0.552932
0.46,0.000316,0.559918
0.47,0.000316,0.566882
0.48,0.000316,0.573828
0.49,0.000316,0.580758
0.5,0.000316,0.587674
0.51,0.000316,0.594579
0.52,0.000316,0.601475
0.53,0.000316,0.608365
0.54,0.000316,0.615251
0.55,0.000316,0.622136
0.56,0.000316,0.629022
0.57,0.000316,0.635912
0.58,0.000316,0.642808
0.59,0.000316,0.649713
0.6,0.000316,0.65663
0.61,0.000316,0.663561
0.62,0.000316,0.670509
0.63,0.000316,0.677478
0.64,0.000316,0.684469
0.65,0.000316,0.691488
0.66,0.000316,0.698535
0.67,0.000316,0.705617
0.68,0.000316,0.712735
0.69,0.000316,0.719894
0.7,0.000316,0.727098
0.71,0.000316,0.734351
0.72,0.000316,0.741659
0.73,0.000316,0.749025
0.74,0.000316,0.756457
0.75,0.000316,0.763959
0.76,0.000316,0.771539
0.77,0.000316,0.779203
0.78,0.000316,0.786959
0.79,0.000316,0.794817
0.8,0.000316,0.802784
0.81,0.000316,0.810873
0.82,0.000316,0.819096
0.83,0.000316,0.827466
0.84,0.000316,0.836
0.85,0.000316,0.844716
0.86,0.000316,0.853634
0.87,0.000316,0.862782
0.88,0.000316,0.872188
0.89,0.000316,0.88189
0.9,0.000316,0.891936
0.91,0.000316,0.902387
0.92,0.000316,0.913328
0.93,0.000316,0.924894
0.94,0.000316,0.937313
0.95,0.000316,0.951029
0.96,0.000316,0.966997
0.97,0.000316,0.98736
0.98,0.000316,1.016814
0.99,0.000316,1.064174
1.0,0.000316,1.15318
0.0,0.001,0.005732
0.01,0.001,0.085411
0.02,0.001,0.134096
0.03,0.001,0.164126
0.04,0.001,0.184931
0.05,0.001,0.201526
0.06,0.001,0.216069
0.07,0.001,0.229448
0.08,0.001,0.242049
0.09,0.001,0.25406
0.1,0.001,0.265588
0.11,0.001,0.276702
0.12,0.001,0.287453
0.13,0.001,0.297884
0.14,0.001,0.308026
0.15,0.001,0.317908
0.16,0.001,0.327554
0.17,0.001,0.336984
0.18,0.001,0.346217
0.19,0.001,0.355269
0.2,0.001,0.364155
0.21,0.001,0.372886
0.22,0.001,0.381474
0.23,0.001,0.38993
0.24,0.001,0.398263
0.25,0.001,0.406481
0.26,0.001,0.414592
0.27,0.001,0.422603
0.28,0.001,0.430521
0.29,0.001,0.438352
0.3,0.001,0.446102
0.31,0.001,0.453775
0.32,0.001,0.461377
0.33,0.001,0.468912
0.34,0.001,0.476384
0.35,0.001,0.483798
0.36,0.001,0.491158
0.37,0.001,0.498468
0.38,0.001,0.505729
0.39,0.001,0.512947
0.4,0.001,0.520125
0.41,0.001,0.527264
0.42,0.001,0.53437
0.43,0.001,0.541443
0.44,0.001,0.548487
0.45,0.001,0.555505
0.46,0.001,0.5625
0.47,0.001,0.569474
0.48,0.001,0.576429
0.49,0.001,0.583368
0.5,0.001,0.590294
0.51,0.001,0.597209
0.52,0.001,0.604115
0.53,0.001,0.611016
0.54,0.001,0.617912
0.55,0.001,0.624808
0.56,0.001,0.631705
0.57,0.001,0.638606
0.58,0.001,0.645513
0.59,0.001,0.65243
0.6,0.001,0.659358
0.61,0.001,0.666301
0.62,0.001,0.673262
0.63,0.001,0.680242
0.64,0.001,0.687246
0.65,0.001,0.694277
0.66,0.001,0.701338
0.67,0.001,0.708432
0.68,0.001,0.715563
0.69,0.001,0.722736
0.7,0.001,0.729954
0.71,0.001,0.737221
0.72,0.001,0.744543
0.73,0.001,0.751924
0.74,0.001,0.75937
0.75,0.001,0.766887
0.76,0.001,0.774482
0.77,0.001,0.782162
0.78,0.001,0.789934
0.79,0.001,0.797807
0.8,0.001,0.805791
0.81,0.001,0.813897
0.82,0.001,0.822137
0.83,0.001,0.830525
0.84,0.001,0.839077
0.85,0.001,0.847811
0.86,0.001,0.856749
0.87,0.001,0.865916
0.88,0.001,0.875343
0.89,0.001,0.885067
0.9,0.001,0.895135
0.91,0.001,0.905609
0.92,0.001,0.916578
0.93,0.001,0.928176
0.94,0.001,0.940639
0.95,0.001,0.954429
0.96,0.001,0.970545
0.97,0.001,0.991235
0.98,0.001,1.021392
0.99,0.001,1.069977
1.0,0.001,1.159901
0.0,0.003162,0.00551
0.01,0.003162,0.088253
0.02,0.003162,0.141346
0.03,0.003162,0.173644
0.04,0.003162,0.195153
0.05,0.003162,0.211779
0.06,0.003162,0.226129
0.07,0.003162,0.239267
0.08,0.003162,0.25164
0.09,0.003162,0.263449
0.1,0.003162,0.274803
0.11,0.003162,0.285769
0.12,0.003162,0.296394
0.13,0.003162,0.306717
0.14,0.003162,0.316767
0.15,0.003162,0.32657
0.16,0.003162,0.336148
0.17,0.003162,0.345521
0.18,0.003162,0.354706
0.19,0.003162,0.363717
0.2,0.003162,0.372567
0.21,0.003162,0.38127
0.22,0.003162,0.389834
0.23,0.003162,0.398271
0.24,0.003162,0.406589
0.25,0.003162,0.414797
0.26,0.003162,0.4229
0.27,0.003162,0.430907
0.28,0.003162,0.438824
0.29,0.003162,0.446656
0.3,0.003162,0.454408
0.31,0.003162,0.462087
0.32,0.003162,0.469697
0.33,0.003162,0.477241
0.34,0.003162,0.484725
0.35,0.003162,0.492153
0.36,0.003162,0.499527
0.37,0.003162,0.506852
0.38,0.003162,0.514131
0.39,0.003162,0.521368
0.4,0.003162,0.528565
0.41,0.003162,0.535725
0.42,0.003162,0.542852
0.43,0.003162,0.549949
0.44,0.003162,0.557017
0.45,0.003162,0.56406
0.46,0.003162,0.57108
0.47,0.003162,0.57808
0.48,0.003162,0.585063
0.49,0.003162,0.59203
0.5,0.003162,0.598985
0.51,0.003162,0.605929
0.52,0.003162,0.612866
0.53,0.003162,0.619797
0.54,0.003162,0.626726
0.55,0.003162,0.633654
0.56,0.003162,0.640584
0.57,0.003162,0.647519
0.58,0.003162,0.65446
0.59,0.003162,0.661412
0.6,0.003162,0.668376
0.61,0.003162,0.675355
0.62,0.003162,0.682353
0.63,0.003162,0.689371
0.64,0.003162,0.696413
0.65,0.003162,0.703483
0.66,0.003162,0.710583
0.67,0.003162,0.717718
0.68,0.003162,0.72489
0.69,0.003162,0.732104
0.7,0.003162,0.739364
0.71,0.003162,0.746675
0.72,0.003162,0.75404
0.73,0.003162,0.761466
0.74,0.003162,0.768958
0.75,0.003162,0.776522
0.76,0.003162,0.784164
0.77,0.003162,0.791892
0.78,0.003162,0.799713
0.79,0.003162,0.807636
0.8,0.003162,0.815672
0.81,0.003162,0.823831
0.82,0.003162,0.832125
0.83,0.003162,0.840568
0.84,0.003162,0.849176
0.85,0.003162,0.857969
0.86,0.003162,0.866967
0.87,0.003162,0.876196
0.88,0.003162,0.885688
0.89,0.003162,0.895479
0.9,0.003162,0.905618
0.91,0.003162,0.916169
0.92,0.003162,0.927223
0.93,0.003162,0.938925
0.94,0.003162,0.951536
0.95,0.003162,0.965582
0.96,0.003162,0.98222
0.97,0.003162,1.004066
0.98,0.003162,1.036674
0.99,0.003162,1.089319
1.0,0.003162,1.181724
0.0,0.01,0.004675
0.01,0.01,0.091571
0.02,0.01,0.160408
0.03,0.01,0.203677
0.04,0.01,0.229719
0.05,0.01,0.247463
0.06,0.01,0.261601
0.07,0.01,0.274114
0.08,0.01,0.285785
0.09,0.01,0.296933
0.1,0.01,0.307694
0.11,0.01,0.318138
0.12,0.01,0.328307
0.13,0.01,0.33823
0.14,0.01,0.347929
0.15,0.01,0.357424
0.16,0.01,0.366732
0.17,0.01,0.375866
0.18,0.01,0.384841
0.19,0.01,0.393668
0.2,0.01,0.402357
0.21,0.01,0.410918
0.22,0.01,0.419359
0.23,0.01,0.427689
0.24,0.01,0.435914
0.25,0.01,0.444042
0.26,0.01,0.452079
0.27,0.01,0.46003
0.28,0.01,0.467901
0.29,0.01,0.475697
0.3,0.01,0.483423
0.31,0.01,0.491083
0.32,0.01,0.49868
0.33,0.01,0.50622
0.34,0.01,0.513706
0.35,0.01,0.521141
0.36,0.01,0.528529
0.37,0.01,0.535873
0.38,0.01,0.543176
0.39,0.01,0.550441
0.4,0.01,0.557671
0.41,0.01,0.564869
0.42,0.01,0.572037
0.43,0.01,0.579178
0.44,0.01,0.586295
0.45,0.01,0.59339
0.46,0.01,0.600466
0.47,0.01,0.607525
0.48,0.01,0.61457
0.49,0.01,0.621602
0.5,0.01,0.628624
0.51,0.01,0.635639
0.52,0.01,0.642649
0.53,0.01,0.649656
0.54,0.01,0.656663
