alpha,epsilon,RD_CCJS
0.44,0.13895,0.541058
0.45,0.13895,0.54875
0.46,0.13895,0.556408
0.47,0.13895,0.564037
0.48,0.13895,0.571642
0.49,0.13895,0.579229
0.5,0.13895,0.586803
0.51,0.13895,0.59437
0.52,0.13895,0.601933
0.53,0.13895,0.6095
0.54,0.13895,0.617076
0.55,0.13895,0.624665
0.56,0.13895,0.632273
0.57,0.13895,0.639907
0.58,0.13895,0.647571
0.59,0.13895,0.655272
0.6,0.13895,0.663015
0.61,0.13895,0.670807
0.62,0.13895,0.678654
0.63,0.13895,0.686562
0.64,0.13895,0.694538
0.65,0.13895,0.702588
0.66,0.13895,0.71072
0.67,0.13895,0.718941
0.68,0.13895,0.727258
0.69,0.13895,0.735678
0.7,0.13895,0.744211
0.71,0.13895,0.752863
0.72,0.13895,0.761643
0.73,0.13895,0.770559
0.74,0.13895,0.779621
0.75,0.13895,0.788838
0.76,0.13895,0.798219
0.77,0.13895,0.807773
0.78,0.13895,0.817512
0.79,0.13895,0.827444
0.8,0.13895,0.837582
0.81,0.13895,0.847937
0.82,0.13895,0.85852
0.83,0.13895,0.869344
0.84,0.13895,0.880422
0.85,0.13895,0.891769
0.86,0.13895,0.903401
0.87,0.13895,0.915335
0.88,0.13895,0.927591
0.89,0.13895,0.940193
0.9,0.13895,0.95317
0.91,0.13895,0.966557
0.92,0.13895,0.980398
0.93,0.13895,0.994756
0.94,0.13895,1.009713
0.95,0.13895,1.025397
0.96,0.13895,1.042003
0.97,0.13895,1.059874
0.98,0.13895,1.079695
0.99,0.13895,1.103287
1.0,0.13895,1.150486
0.0,0.372759,0.005901
0.01,0.372759,0.053741
0.02,0.372759,0.079313
0.03,0.372759,0.099508
0.04,0.372759,0.117
0.05,0.372759,0.132812
0.06,0.372759,0.147462
0.07,0.372759,0.161254
0.08,0.372759,0.174381
0.09,0.372759,0.186978
0.1,0.372759,0.199141
0.11,0.372759,0.21094
0.12,0.372759,0.222431
0.13,0.372759,0.233657
0.14,0.372759,0.244651
0.15,0.372759,0.255441
0.16,0.372759,0.266052
0.17,0.372759,0.276501
0.18,0.372759,0.286806
0.19,0.372759,0.296979
0.2,0.372759,0.307034
0.21,0.372759,0.31698
0.22,0.372759,0.326827
0.23,0.372759,0.336583
0.24,0.372759,0.346254
0.25,0.372759,0.355848
0.26,0.372759,0.36537
0.27,0.372759,0.374826
0.28,0.372759,0.38422
0.29,0.372759,0.393556
0.3,0.372759,0.402839
0.31,0.372759,0.412073
0.32,0.372759,0.42126
0.33,0.372759,0.430405
0.34,0.372759,0.43951
0.35,0.372759,0.448579
0.36,0.372759,0.457613
0.37,0.372759,0.466616
0.38,0.372759,0.475591
0.39,0.372759,0.484539
0.4,0.372759,0.493463
0.41,0.372759,0.502366
0.42,0.372759,0.511249
0.43,0.372759,0.520115
0.44,0.372759,0.528966
0.45,0.372759,0.537803
0.46,0.372759,0.54663
0.47,0.372759,0.555448
0.48,0.372759,0.564258
0.49,0.372759,0.573064
0.5,0.372759,0.581867
0.51,0.372759,0.590668
0.52,0.372759,0.59947
0.53,0.372759,0.608275
0.54,0.372759,0.617085
0.55,0.372759,0.625901
0.56,0.372759,0.634726
0.57,0.372759,0.643562
0.58,0.372759,0.65241
0.59,0.372759,0.661273
0.6,0.372759,0.670153
0.61,0.372759,0.679052
0.62,0.372759,0.687972
0.63,0.372759,0.696915
0.64,0.372759,0.705884
0.65,0.372759,0.71488
0.66,0.372759,0.723907
0.67,0.372759,0.732967
0.68,0.372759,0.742063
0.69,0.372759,0.751197
0.7,0.372759,0.760373
0.71,0.372759,0.769592
0.72,0.372759,0.77886
0.73,0.372759,0.788179
0.74,0.372759,0.797553
0.75,0.372759,0.806986
0.76,0.372759,0.816482
0.77,0.372759,0.826047
0.78,0.372759,0.835686
0.79,0.372759,0.845404
0.8,0.372759,0.855208
0.81,0.372759,0.865105
0.82,0.372759,0.875105
0.83,0.372759,0.885215
0.84,0.372759,0.895448
0.85,0.372759,0.905815
0.86,0.372759,0.916331
0.87,0.372759,0.927015
0.88,0.372759,0.937887
0.89,0.372759,0.948973
0.9,0.372759,0.960306
0.91,0.372759,0.971925
0.92,0.372759,0.983884
0.93,0.372759,0.996253
0.94,0.372759,1.009129
0.95,0.372759,1.022655
0.96,0.372759,1.03705
0.97,0.372759,1.052687
0.98,0.372759,1.070299
